GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,"Estimate; Total: - Less than $10,000","Margin of Error; Total: - Less than $10,000","Estimate; Total: - $10,000 to $14,999","Margin of Error; Total: - $10,000 to $14,999","Estimate; Total: - $15,000 to $19,999","Margin of Error; Total: - $15,000 to $19,999","Estimate; Total: - $20,000 to $24,999","Margin of Error; Total: - $20,000 to $24,999","Estimate; Total: - $25,000 to $29,999","Margin of Error; Total: - $25,000 to $29,999","Estimate; Total: - $30,000 to $34,999","Margin of Error; Total: - $30,000 to $34,999","Estimate; Total: - $35,000 to $39,999","Margin of Error; Total: - $35,000 to $39,999","Estimate; Total: - $40,000 to $44,999","Margin of Error; Total: - $40,000 to $44,999","Estimate; Total: - $45,000 to $49,999","Margin of Error; Total: - $45,000 to $49,999","Estimate; Total: - $50,000 to $59,999","Margin of Error; Total: - $50,000 to $59,999","Estimate; Total: - $60,000 to $74,999","Margin of Error; Total: - $60,000 to $74,999","Estimate; Total: - $75,000 to $99,999","Margin of Error; Total: - $75,000 to $99,999","Estimate; Total: - $100,000 to $124,999","Margin of Error; Total: - $100,000 to $124,999","Estimate; Total: - $125,000 to $149,999","Margin of Error; Total: - $125,000 to $149,999","Estimate; Total: - $150,000 to $199,999","Margin of Error; Total: - $150,000 to $199,999","Estimate; Total: - $200,000 or more","Margin of Error; Total: - $200,000 or more"
1400000US17031010100,17031010100,"Census Tract 101, Cook County, Illinois",942,203,170,107,18,30,19,29,131,100,12,20,13,20,8,30,32,39,35,45,35,34,105,89,118,91,218,124,28,34,0,16,0,16
1400000US17031010201,17031010201,"Census Tract 102.01, Cook County, Illinois",1443,218,82,72,141,84,115,85,115,83,42,59,119,88,107,82,57,59,0,16,170,108,158,86,114,68,70,82,53,39,85,72,15,21
1400000US17031010202,17031010202,"Census Tract 102.02, Cook County, Illinois",558,121,44,54,66,56,62,50,0,11,0,11,0,11,75,56,9,14,46,56,15,24,87,64,40,37,100,61,14,22,0,11,0,11
1400000US17031010300,17031010300,"Census Tract 103, Cook County, Illinois",971,200,82,62,9,15,74,77,112,84,17,27,24,27,95,91,8,15,46,74,87,69,83,82,142,82,44,42,67,50,49,46,32,45
1400000US17031010400,17031010400,"Census Tract 104, Cook County, Illinois",589,149,45,64,7,12,0,11,16,27,0,11,9,16,76,60,22,25,12,15,32,38,60,48,96,66,45,35,10,16,97,93,62,40
1400000US17031010501,17031010501,"Census Tract 105.01, Cook County, Illinois",534,157,14,23,26,44,34,38,118,86,17,27,16,24,15,22,26,34,11,17,32,37,78,76,60,49,71,68,16,25,0,11,0,11
1400000US17031010502,17031010502,"Census Tract 105.02, Cook County, Illinois",502,166,58,92,0,11,49,51,0,11,55,40,7,12,26,32,6,9,11,18,61,98,0,11,7,12,44,41,121,71,25,27,32,34
1400000US17031010503,17031010503,"Census Tract 105.03, Cook County, Illinois",273,93,32,30,53,49,20,31,37,37,0,11,0,11,0,11,0,11,0,11,13,21,0,11,26,26,36,44,25,36,18,19,13,21
1400000US17031010600,17031010600,"Census Tract 106, Cook County, Illinois",1432,224,70,87,86,69,0,16,159,118,44,67,125,111,15,26,42,69,51,75,111,87,339,162,119,70,46,41,80,66,101,78,44,42
1400000US17031010701,17031010701,"Census Tract 107.01, Cook County, Illinois",940,147,12,19,1,16,30,33,29,33,64,65,107,91,66,58,21,24,34,32,164,90,121,63,97,59,46,38,73,38,43,52,32,31
1400000US17031010702,17031010702,"Census Tract 107.02, Cook County, Illinois",959,158,156,99,0,16,166,100,78,84,6,12,20,34,10,16,57,61,52,61,29,36,67,57,89,48,101,61,105,63,6,11,17,22
1400000US17031020100,17031020100,"Census Tract 201, Cook County, Illinois",897,128,108,98,0,11,105,64,0,11,60,62,61,77,80,84,41,36,58,63,83,67,66,45,90,57,33,30,44,35,46,36,22,25
1400000US17031020200,17031020200,"Census Tract 202, Cook County, Illinois",1629,152,69,68,31,41,62,57,30,35,48,65,36,59,11,20,0,16,46,43,151,92,88,70,347,163,219,107,154,88,259,113,78,63
1400000US17031020301,17031020301,"Census Tract 203.01, Cook County, Illinois",1195,129,16,18,15,23,17,27,61,78,69,67,60,67,42,41,63,49,45,43,58,40,111,61,273,104,124,63,50,36,65,52,126,53
1400000US17031020302,17031020302,"Census Tract 203.02, Cook County, Illinois",954,171,51,62,19,22,34,32,30,42,0,11,0,11,13,21,75,70,74,64,69,55,112,95,35,34,262,117,44,38,43,39,93,83
1400000US17031020400,17031020400,"Census Tract 204, Cook County, Illinois",991,120,27,41,19,21,6,10,66,47,84,63,37,30,44,45,73,61,51,51,106,57,77,50,97,51,110,66,108,46,70,53,16,18
1400000US17031020500,17031020500,"Census Tract 205, Cook County, Illinois",1228,180,130,110,87,64,0,16,72,65,86,74,54,44,146,94,62,63,172,109,17,33,143,62,104,79,44,50,84,78,27,45,0,16
1400000US17031020601,17031020601,"Census Tract 206.01, Cook County, Illinois",1307,172,136,82,86,53,55,64,15,24,90,83,36,58,24,27,97,87,31,37,63,47,132,98,182,92,116,62,113,57,63,49,68,52
1400000US17031020602,17031020602,"Census Tract 206.02, Cook County, Illinois",878,107,29,48,64,66,54,49,86,72,42,46,95,71,0,11,66,44,160,95,20,31,78,67,78,66,28,23,19,18,31,32,28,36
1400000US17031020701,17031020701,"Census Tract 207.01, Cook County, Illinois",524,88,17,20,56,60,0,11,0,11,37,58,19,19,14,11,0,11,0,11,22,20,110,72,87,65,27,21,47,28,43,26,45,27
1400000US17031020702,17031020702,"Census Tract 207.02, Cook County, Illinois",1621,191,103,92,113,89,134,104,66,61,70,60,78,65,30,35,86,88,68,77,165,100,302,151,183,95,92,70,55,51,47,39,29,35
1400000US17031020801,17031020801,"Census Tract 208.01, Cook County, Illinois",1278,216,75,75,0,11,204,131,66,71,54,63,34,42,109,113,28,44,62,68,213,148,32,36,131,96,159,92,47,44,64,65,0,11
1400000US17031020802,17031020802,"Census Tract 208.02, Cook County, Illinois",1372,206,181,116,82,69,132,102,43,50,63,63,16,28,68,79,95,75,0,16,188,129,78,61,207,108,36,39,124,94,0,16,59,73
1400000US17031020901,17031020901,"Census Tract 209.01, Cook County, Illinois",1060,179,63,48,66,63,158,96,37,32,81,73,46,48,47,54,116,89,76,68,74,45,88,59,48,56,113,82,0,16,47,56,0,16
1400000US17031020902,17031020902,"Census Tract 209.02, Cook County, Illinois",873,147,0,11,31,21,74,50,32,37,40,59,48,43,87,72,42,45,54,39,91,56,180,106,80,56,38,38,35,41,41,41,0,11
1400000US17031030101,17031030101,"Census Tract 301.01, Cook County, Illinois",861,156,42,47,12,19,44,51,4,12,108,78,46,42,18,26,12,20,36,58,62,63,89,78,151,86,84,71,45,53,83,70,25,34
1400000US17031030102,17031030102,"Census Tract 301.02, Cook County, Illinois",507,130,42,48,0,11,0,11,81,76,0,11,28,33,0,11,33,32,23,26,27,25,95,68,71,48,28,26,39,35,19,32,21,28
1400000US17031030103,17031030103,"Census Tract 301.03, Cook County, Illinois",273,164,0,11,102,151,0,11,0,11,0,11,48,50,0,11,8,13,0,11,24,19,14,22,32,31,8,15,30,50,7,12,0,11
1400000US17031030104,17031030104,"Census Tract 301.04, Cook County, Illinois",205,96,30,39,0,11,0,11,7,13,40,44,0,11,73,78,8,13,0,11,15,18,20,33,12,19,0,11,0,11,0,11,0,11
1400000US17031030200,17031030200,"Census Tract 302, Cook County, Illinois",1146,160,13,20,0,16,17,28,84,75,15,26,10,18,0,16,34,39,62,69,89,74,82,42,252,119,115,67,116,71,88,59,169,75
1400000US17031030300,17031030300,"Census Tract 303, Cook County, Illinois",514,112,16,19,23,25,45,39,94,61,56,51,50,45,14,16,0,11,20,23,27,30,27,23,50,53,29,34,17,20,38,27,8,13
1400000US17031030400,17031030400,"Census Tract 304, Cook County, Illinois",580,92,69,47,21,34,17,28,20,30,24,30,50,49,53,48,22,21,9,14,61,45,9,16,62,46,35,44,46,31,57,39,25,24
1400000US17031030500,17031030500,"Census Tract 305, Cook County, Illinois",1366,204,0,16,87,73,121,103,32,37,167,104,39,63,47,45,26,32,97,87,57,73,89,63,106,65,143,71,99,71,165,103,91,60
1400000US17031030601,17031030601,"Census Tract 306.01, Cook County, Illinois",436,128,29,38,73,67,28,31,13,21,34,41,0,11,11,17,5,14,35,46,0,11,45,40,53,51,41,47,11,19,24,28,34,38
1400000US17031030603,17031030603,"Census Tract 306.03, Cook County, Illinois",381,111,60,65,31,36,40,34,61,62,9,14,47,41,14,23,13,21,21,33,13,21,0,11,0,11,27,30,29,35,16,24,0,11
1400000US17031030604,17031030604,"Census Tract 306.04, Cook County, Illinois",471,118,62,48,0,11,0,11,52,48,38,51,31,35,43,47,11,17,0,11,0,11,32,36,73,70,6,9,89,56,34,29,0,11
1400000US17031030701,17031030701,"Census Tract 307.01, Cook County, Illinois",311,97,31,22,33,42,17,27,0,11,8,13,7,11,18,28,0,11,0,11,0,11,48,50,98,47,51,76,0,11,0,11,0,11
1400000US17031030702,17031030702,"Census Tract 307.02, Cook County, Illinois",279,93,6,10,15,27,0,11,8,13,22,34,7,14,8,15,23,26,76,69,0,11,44,53,7,12,14,17,21,24,20,25,8,13
1400000US17031030703,17031030703,"Census Tract 307.03, Cook County, Illinois",489,98,20,50,8,14,107,72,14,21,9,15,15,22,7,12,0,11,7,11,13,22,176,69,65,46,21,28,0,11,0,11,27,35
1400000US17031030706,17031030706,"Census Tract 307.06, Cook County, Illinois",508,118,33,36,0,11,10,17,13,22,12,22,28,31,8,14,25,41,14,23,71,55,104,92,51,51,28,27,22,26,55,39,34,31
1400000US17031030800,17031030800,"Census Tract 308, Cook County, Illinois",776,136,51,68,30,49,0,11,26,30,14,22,13,21,14,25,18,21,0,11,0,11,41,42,122,83,43,47,53,44,117,65,234,74
1400000US17031030900,17031030900,"Census Tract 309, Cook County, Illinois",726,95,0,11,0,11,7,11,15,18,13,14,24,23,32,42,8,14,24,38,77,61,152,95,167,84,58,50,73,55,36,28,40,49
1400000US17031031000,17031031000,"Census Tract 310, Cook County, Illinois",592,120,0,11,11,18,46,28,8,13,0,11,35,44,8,14,0,11,10,20,21,26,42,36,194,92,38,31,48,47,66,36,65,41
1400000US17031031100,17031031100,"Census Tract 311, Cook County, Illinois",915,216,42,67,26,29,13,20,14,22,70,73,0,11,61,70,0,11,40,40,105,94,85,87,138,93,130,94,44,44,73,72,74,52
1400000US17031031200,17031031200,"Census Tract 312, Cook County, Illinois",808,166,202,97,96,85,21,26,20,28,18,29,34,41,16,29,0,16,17,34,87,60,70,62,87,70,43,45,0,16,59,62,38,47
1400000US17031031300,17031031300,"Census Tract 313, Cook County, Illinois",1438,220,151,121,99,89,47,46,61,78,44,45,126,106,46,41,40,40,27,23,89,65,66,51,227,113,171,93,79,80,95,57,70,68
1400000US17031031400,17031031400,"Census Tract 314, Cook County, Illinois",897,179,0,16,18,31,42,50,0,16,51,60,0,16,14,23,18,30,29,33,57,54,14,23,217,116,115,84,80,64,92,58,150,66
1400000US17031031501,17031031501,"Census Tract 315.01, Cook County, Illinois",544,136,122,73,61,55,49,28,26,41,6,11,10,18,0,11,0,11,10,17,23,37,17,23,37,26,145,91,8,14,30,33,0,11
