"GEO.id - Chicago city, 2010",GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD01_VD02,HD01_VD03,HD01_VD04,HD01_VD05,HD01_VD06,HD01_VD07,HD01_VD08,HD01_VD09,HD01_VD10,HD01_VD11,HD01_VD12,HD01_VD13,HD01_VD14,HD01_VD15,HD01_VD16,HD01_VD17,
Id,Id,Id2,Geography,Estimate, Total:,"Estimate; Total: - Less than $10,000","Estimate; Total: - $10,000 to $14,999","Estimate; Total: - $15,000 to $19,999","Estimate; Total: - $20,000 to $24,999","Estimate; Total: - $25,000 to $29,999","Estimate; Total: - $30,000 to $34,999","Estimate; Total: - $35,000 to $39,999","Estimate; Total: - $40,000 to $44,999","Estimate; Total: - $45,000 to $49,999","Estimate; Total: - $50,000 to $59,999","Estimate; Total: - $60,000 to $74,999","Estimate; Total: - $75,000 to $99,999","Estimate; Total: - $100,000 to $124,999","Estimate; Total: - $125,000 to $149,999","Estimate; Total: - $150,000 to $199,999","Estimate; Total: - $200,000 or more"
0800000US170311400014000010100,1400000US17031010100,17031010100,"Census Tract 101, Cook County, Illinois",942,170,18,19,131,12,13,8,32,35,35,105,118,218,28,0,0,
0800000US170311400014000010201,1400000US17031010201,17031010201,"Census Tract 102.01, Cook County, Illinois",1443,82,141,115,115,42,119,107,57,0,170,158,114,70,53,85,15,
0800000US170311400014000010202,1400000US17031010202,17031010202,"Census Tract 102.02, Cook County, Illinois",558,44,66,62,0,0,0,75,9,46,15,87,40,100,14,0,0,
0800000US170311400014000010300,1400000US17031010300,17031010300,"Census Tract 103, Cook County, Illinois",971,82,9,74,112,17,24,95,8,46,87,83,142,44,67,49,32,
0800000US170311400014000010400,1400000US17031010400,17031010400,"Census Tract 104, Cook County, Illinois",589,45,7,0,16,0,9,76,22,12,32,60,96,45,10,97,62,
0800000US170311400014000010501,1400000US17031010501,17031010501,"Census Tract 105.01, Cook County, Illinois",534,14,26,34,118,17,16,15,26,11,32,78,60,71,16,0,0,
0800000US170311400014000010502,1400000US17031010502,17031010502,"Census Tract 105.02, Cook County, Illinois",502,58,0,49,0,55,7,26,6,11,61,0,7,44,121,25,32,
0800000US170311400014000010503,1400000US17031010503,17031010503,"Census Tract 105.03, Cook County, Illinois",273,32,53,20,37,0,0,0,0,0,13,0,26,36,25,18,13,
0800000US170311400014000010600,1400000US17031010600,17031010600,"Census Tract 106, Cook County, Illinois",1432,70,86,0,159,44,125,15,42,51,111,339,119,46,80,101,44,
0800000US170311400014000010701,1400000US17031010701,17031010701,"Census Tract 107.01, Cook County, Illinois",940,12,1,30,29,64,107,66,21,34,164,121,97,46,73,43,32,
0800000US170311400014000010702,1400000US17031010702,17031010702,"Census Tract 107.02, Cook County, Illinois",959,156,0,166,78,6,20,10,57,52,29,67,89,101,105,6,17,
0800000US170311400014000020100,1400000US17031020100,17031020100,"Census Tract 201, Cook County, Illinois",897,108,0,105,0,60,61,80,41,58,83,66,90,33,44,46,22,
0800000US170311400014000020200,1400000US17031020200,17031020200,"Census Tract 202, Cook County, Illinois",1629,69,31,62,30,48,36,11,0,46,151,88,347,219,154,259,78,
0800000US170311400014000020301,1400000US17031020301,17031020301,"Census Tract 203.01, Cook County, Illinois",1195,16,15,17,61,69,60,42,63,45,58,111,273,124,50,65,126,
0800000US170311400014000020302,1400000US17031020302,17031020302,"Census Tract 203.02, Cook County, Illinois",954,51,19,34,30,0,0,13,75,74,69,112,35,262,44,43,93,
0800000US170311400014000020400,1400000US17031020400,17031020400,"Census Tract 204, Cook County, Illinois",991,27,19,6,66,84,37,44,73,51,106,77,97,110,108,70,16,
0800000US170311400014000020500,1400000US17031020500,17031020500,"Census Tract 205, Cook County, Illinois",1228,130,87,0,72,86,54,146,62,172,17,143,104,44,84,27,0,
0800000US170311400014000020601,1400000US17031020601,17031020601,"Census Tract 206.01, Cook County, Illinois",1307,136,86,55,15,90,36,24,97,31,63,132,182,116,113,63,68,
0800000US170311400014000020602,1400000US17031020602,17031020602,"Census Tract 206.02, Cook County, Illinois",878,29,64,54,86,42,95,0,66,160,20,78,78,28,19,31,28,
0800000US170311400014000020701,1400000US17031020701,17031020701,"Census Tract 207.01, Cook County, Illinois",524,17,56,0,0,37,19,14,0,0,22,110,87,27,47,43,45,
0800000US170311400014000020702,1400000US17031020702,17031020702,"Census Tract 207.02, Cook County, Illinois",1621,103,113,134,66,70,78,30,86,68,165,302,183,92,55,47,29,
0800000US170311400014000020801,1400000US17031020801,17031020801,"Census Tract 208.01, Cook County, Illinois",1278,75,0,204,66,54,34,109,28,62,213,32,131,159,47,64,0,
0800000US170311400014000020802,1400000US17031020802,17031020802,"Census Tract 208.02, Cook County, Illinois",1372,181,82,132,43,63,16,68,95,0,188,78,207,36,124,0,59,
0800000US170311400014000020901,1400000US17031020901,17031020901,"Census Tract 209.01, Cook County, Illinois",1060,63,66,158,37,81,46,47,116,76,74,88,48,113,0,47,0,
0800000US170311400014000020902,1400000US17031020902,17031020902,"Census Tract 209.02, Cook County, Illinois",873,0,31,74,32,40,48,87,42,54,91,180,80,38,35,41,0,
0800000US170311400014000030101,1400000US17031030101,17031030101,"Census Tract 301.01, Cook County, Illinois",861,42,12,44,4,108,46,18,12,36,62,89,151,84,45,83,25,
0800000US170311400014000030102,1400000US17031030102,17031030102,"Census Tract 301.02, Cook County, Illinois",507,42,0,0,81,0,28,0,33,23,27,95,71,28,39,19,21,
0800000US170311400014000030103,1400000US17031030103,17031030103,"Census Tract 301.03, Cook County, Illinois",273,0,102,0,0,0,48,0,8,0,24,14,32,8,30,7,0,
0800000US170311400014000030104,1400000US17031030104,17031030104,"Census Tract 301.04, Cook County, Illinois",205,30,0,0,7,40,0,73,8,0,15,20,12,0,0,0,0,
0800000US170311400014000030200,1400000US17031030200,17031030200,"Census Tract 302, Cook County, Illinois",1146,13,0,17,84,15,10,0,34,62,89,82,252,115,116,88,169,
0800000US170311400014000030300,1400000US17031030300,17031030300,"Census Tract 303, Cook County, Illinois",514,16,23,45,94,56,50,14,0,20,27,27,50,29,17,38,8,
0800000US170311400014000030400,1400000US17031030400,17031030400,"Census Tract 304, Cook County, Illinois",580,69,21,17,20,24,50,53,22,9,61,9,62,35,46,57,25,
0800000US170311400014000030500,1400000US17031030500,17031030500,"Census Tract 305, Cook County, Illinois",1366,0,87,121,32,167,39,47,26,97,57,89,106,143,99,165,91,
0800000US170311400014000030601,1400000US17031030601,17031030601,"Census Tract 306.01, Cook County, Illinois",436,29,73,28,13,34,0,11,5,35,0,45,53,41,11,24,34,
0800000US170311400014000030603,1400000US17031030603,17031030603,"Census Tract 306.03, Cook County, Illinois",381,60,31,40,61,9,47,14,13,21,13,0,0,27,29,16,0,
0800000US170311400014000030604,1400000US17031030604,17031030604,"Census Tract 306.04, Cook County, Illinois",471,62,0,0,52,38,31,43,11,0,0,32,73,6,89,34,0,
0800000US170311400014000030701,1400000US17031030701,17031030701,"Census Tract 307.01, Cook County, Illinois",311,31,33,17,0,8,7,18,0,0,0,48,98,51,0,0,0,
0800000US170311400014000030702,1400000US17031030702,17031030702,"Census Tract 307.02, Cook County, Illinois",279,6,15,0,8,22,7,8,23,76,0,44,7,14,21,20,8,
0800000US170311400014000030703,1400000US17031030703,17031030703,"Census Tract 307.03, Cook County, Illinois",489,20,8,107,14,9,15,7,0,7,13,176,65,21,0,0,27,
0800000US170311400014000030706,1400000US17031030706,17031030706,"Census Tract 307.06, Cook County, Illinois",508,33,0,10,13,12,28,8,25,14,71,104,51,28,22,55,34,
0800000US170311400014000030800,1400000US17031030800,17031030800,"Census Tract 308, Cook County, Illinois",776,51,30,0,26,14,13,14,18,0,0,41,122,43,53,117,234,
0800000US170311400014000030900,1400000US17031030900,17031030900,"Census Tract 309, Cook County, Illinois",726,0,0,7,15,13,24,32,8,24,77,152,167,58,73,36,40,
0800000US170311400014000031000,1400000US17031031000,17031031000,"Census Tract 310, Cook County, Illinois",592,0,11,46,8,0,35,8,0,10,21,42,194,38,48,66,65,
0800000US170311400014000031100,1400000US17031031100,17031031100,"Census Tract 311, Cook County, Illinois",915,42,26,13,14,70,0,61,0,40,105,85,138,130,44,73,74,
0800000US170311400014000031200,1400000US17031031200,17031031200,"Census Tract 312, Cook County, Illinois",808,202,96,21,20,18,34,16,0,17,87,70,87,43,0,59,38,
0800000US170311400014000031300,1400000US17031031300,17031031300,"Census Tract 313, Cook County, Illinois",1438,151,99,47,61,44,126,46,40,27,89,66,227,171,79,95,70,
0800000US170311400014000031400,1400000US17031031400,17031031400,"Census Tract 314, Cook County, Illinois",897,0,18,42,0,51,0,14,18,29,57,14,217,115,80,92,150,
0800000US170311400014000031501,1400000US17031031501,17031031501,"Census Tract 315.01, Cook County, Illinois",544,122,61,49,26,6,10,0,0,10,23,17,37,145,8,30,0,
0800000US170311400014000031502,1400000US17031031502,17031031502,"Census Tract 315.02, Cook County, Illinois",780,83,32,130,38,27,83,41,14,0,60,65,100,11,67,29,0,
0800000US170311400014000031700,1400000US17031031700,17031031700,"Census Tract 317, Cook County, Illinois",1125,157,58,127,68,23,46,0,45,0,52,25,118,117,74,56,159,
0800000US170311400014000031800,1400000US17031031800,17031031800,"Census Tract 318, Cook County, Illinois",359,5,3,18,0,4,0,17,0,7,33,13,89,25,27,108,10,
0800000US170311400014000031900,1400000US17031031900,17031031900,"Census Tract 319, Cook County, Illinois",424,20,0,0,0,22,0,0,0,0,10,64,119,72,25,20,72,
0800000US170311400014000032100,1400000US17031032100,17031032100,"Census Tract 321, Cook County, Illinois",888,27,57,0,0,31,54,0,73,16,47,33,46,123,96,157,128,
0800000US170311400014000040100,1400000US17031040100,17031040100,"Census Tract 401, Cook County, Illinois",816,41,0,36,72,26,65,66,0,45,52,39,93,58,50,76,97,
0800000US170311400014000040201,1400000US17031040201,17031040201,"Census Tract 402.01, Cook County, Illinois",1371,81,35,39,128,16,67,17,107,10,48,161,87,176,65,116,218,
0800000US170311400014000040202,1400000US17031040202,17031040202,"Census Tract 402.02, Cook County, Illinois",1570,198,85,63,32,161,0,40,96,71,100,110,247,41,142,153,31,
0800000US170311400014000040300,1400000US17031040300,17031040300,"Census Tract 403, Cook County, Illinois",669,30,8,6,0,42,39,0,22,11,35,85,65,83,86,78,79,
0800000US170311400014000040401,1400000US17031040401,17031040401,"Census Tract 404.01, Cook County, Illinois",621,0,51,0,0,14,46,37,44,8,11,19,78,99,42,65,107,
0800000US170311400014000040402,1400000US17031040402,17031040402,"Census Tract 404.02, Cook County, Illinois",806,53,0,49,0,13,50,39,31,76,70,54,64,53,55,52,147,
0800000US170311400014000040600,1400000US17031040600,17031040600,"Census Tract 406, Cook County, Illinois",549,0,30,0,32,11,0,0,20,0,19,91,59,55,44,72,116,
0800000US170311400014000040700,1400000US17031040700,17031040700,"Census Tract 407, Cook County, Illinois",733,0,17,0,52,41,9,0,34,38,80,19,80,130,73,54,106,
0800000US170311400014000040800,1400000US17031040800,17031040800,"Census Tract 408, Cook County, Illinois",401,0,0,25,3,5,13,13,0,14,50,8,109,67,12,33,49,
0800000US170311400014000040900,1400000US17031040900,17031040900,"Census Tract 409, Cook County, Illinois",452,4,0,14,20,8,17,6,34,13,39,22,50,40,50,32,103,
0800000US170311400014000050100,1400000US17031050100,17031050100,"Census Tract 501, Cook County, Illinois",493,0,0,7,15,9,0,19,8,6,49,13,56,100,6,60,145,
0800000US170311400014000050200,1400000US17031050200,17031050200,"Census Tract 502, Cook County, Illinois",1082,0,0,18,26,102,52,0,50,24,25,99,69,84,103,81,349,
0800000US170311400014000050300,1400000US17031050300,17031050300,"Census Tract 503, Cook County, Illinois",504,6,0,8,8,23,8,10,15,7,0,17,35,106,57,122,82,
0800000US170311400014000050500,1400000US17031050500,17031050500,"Census Tract 505, Cook County, Illinois",1188,12,0,13,0,35,0,6,49,74,77,139,175,75,147,149,237,
0800000US170311400014000050600,1400000US17031050600,17031050600,"Census Tract 506, Cook County, Illinois",503,0,0,0,8,0,26,6,45,42,8,40,39,90,54,74,71,
0800000US170311400014000050700,1400000US17031050700,17031050700,"Census Tract 507, Cook County, Illinois",300,0,14,0,0,0,0,0,21,0,0,13,38,39,56,59,60,
0800000US170311400014000050800,1400000US17031050800,17031050800,"Census Tract 508, Cook County, Illinois",357,0,9,8,0,0,0,7,0,25,6,3,42,33,50,64,110,
0800000US170311400014000050900,1400000US17031050900,17031050900,"Census Tract 509, Cook County, Illinois",356,0,5,9,0,0,0,0,5,5,49,17,23,70,29,45,99,
0800000US170311400014000051000,1400000US17031051000,17031051000,"Census Tract 510, Cook County, Illinois",355,5,7,0,0,8,8,13,0,7,10,46,27,55,16,36,117,
0800000US170311400014000051100,1400000US17031051100,17031051100,"Census Tract 511, Cook County, Illinois",423,17,0,9,28,0,0,23,0,10,22,14,56,27,62,92,63,
0800000US170311400014000051200,1400000US17031051200,17031051200,"Census Tract 512, Cook County, Illinois",299,18,0,0,0,16,0,13,6,0,21,0,37,23,29,36,100,
0800000US170311400014000051300,1400000US17031051300,17031051300,"Census Tract 513, Cook County, Illinois",700,20,0,22,0,17,0,7,30,11,0,33,14,95,33,127,291,
0800000US170311400014000051400,1400000US17031051400,17031051400,"Census Tract 514, Cook County, Illinois",456,12,8,26,0,13,19,36,23,18,0,37,14,27,38,46,139,
0800000US170311400014000060100,1400000US17031060100,17031060100,"Census Tract 601, Cook County, Illinois",597,0,17,0,0,0,4,3,0,15,45,56,35,27,37,73,285,
0800000US170311400014000060200,1400000US17031060200,17031060200,"Census Tract 602, Cook County, Illinois",324,23,0,0,0,16,0,8,8,28,29,7,96,7,8,35,59,
0800000US170311400014000060300,1400000US17031060300,17031060300,"Census Tract 603, Cook County, Illinois",643,8,8,7,11,0,0,16,0,5,62,32,91,85,62,43,213,
0800000US170311400014000060400,1400000US17031060400,17031060400,"Census Tract 604, Cook County, Illinois",740,26,0,0,0,17,9,0,7,0,8,17,69,81,80,92,334,
0800000US170311400014000060500,1400000US17031060500,17031060500,"Census Tract 605, Cook County, Illinois",149,21,10,4,15,0,4,0,4,0,0,12,4,4,0,8,63,
0800000US170311400014000060800,1400000US17031060800,17031060800,"Census Tract 608, Cook County, Illinois",668,0,0,0,9,11,10,0,35,0,14,68,47,106,104,69,195,
0800000US170311400014000060900,1400000US17031060900,17031060900,"Census Tract 609, Cook County, Illinois",958,0,0,16,0,0,52,52,21,67,40,113,86,122,183,100,106,
0800000US170311400014000061000,1400000US17031061000,17031061000,"Census Tract 610, Cook County, Illinois",218,10,0,0,13,12,0,4,0,0,11,9,46,20,5,37,51,
0800000US170311400014000061100,1400000US17031061100,17031061100,"Census Tract 611, Cook County, Illinois",176,4,0,0,0,7,11,9,0,5,9,5,23,40,0,28,35,
0800000US170311400014000061200,1400000US17031061200,17031061200,"Census Tract 612, Cook County, Illinois",294,0,0,0,10,6,0,0,0,0,14,5,36,24,5,100,94,
0800000US170311400014000061500,1400000US17031061500,17031061500,"Census Tract 615, Cook County, Illinois",313,0,0,0,0,21,0,3,0,18,11,37,33,53,53,39,45,
0800000US170311400014000061800,1400000US17031061800,17031061800,"Census Tract 618, Cook County, Illinois",95,4,6,5,0,0,17,0,0,0,16,4,10,9,19,0,5,
0800000US170311400014000061901,1400000US17031061901,17031061901,"Census Tract 619.01, Cook County, Illinois",495,40,0,62,13,17,11,0,16,0,0,36,87,110,28,11,64,
0800000US170311400014000061902,1400000US17031061902,17031061902,"Census Tract 619.02, Cook County, Illinois",533,0,0,15,45,0,0,0,13,10,48,0,35,53,26,110,178,
0800000US170311400014000062000,1400000US17031062000,17031062000,"Census Tract 620, Cook County, Illinois",320,0,8,9,9,0,0,36,9,42,0,7,39,35,7,45,74,
0800000US170311400014000062100,1400000US17031062100,17031062100,"Census Tract 621, Cook County, Illinois",441,0,19,0,0,14,11,6,0,0,0,16,12,35,58,46,224,
0800000US170311400014000062200,1400000US17031062200,17031062200,"Census Tract 622, Cook County, Illinois",524,10,0,10,14,0,14,0,34,0,15,17,27,41,66,91,185,
0800000US170311400014000062300,1400000US17031062300,17031062300,"Census Tract 623, Cook County, Illinois",238,0,27,0,0,0,10,4,5,0,0,12,0,22,5,14,139,
0800000US170311400014000062400,1400000US17031062400,17031062400,"Census Tract 624, Cook County, Illinois",365,0,0,0,1,0,0,6,0,0,6,56,13,47,72,45,119,
0800000US170311400014000062500,1400000US17031062500,17031062500,"Census Tract 625, Cook County, Illinois",222,5,0,0,5,0,0,0,0,5,0,10,31,40,5,70,51,
0800000US170311400014000062600,1400000US17031062600,17031062600,"Census Tract 626, Cook County, Illinois",470,17,21,14,0,0,0,12,23,0,24,5,36,28,25,57,208,
0800000US170311400014000062700,1400000US17031062700,17031062700,"Census Tract 627, Cook County, Illinois",483,0,18,22,0,7,6,12,0,8,0,23,85,84,30,62,126,
0800000US170311400014000062800,1400000US17031062800,17031062800,"Census Tract 628, Cook County, Illinois",736,0,0,8,7,0,0,0,29,0,23,58,123,67,36,116,269,
0800000US170311400014000062900,1400000US17031062900,17031062900,"Census Tract 629, Cook County, Illinois",676,25,0,0,0,37,0,0,0,0,8,7,138,113,7,69,272,
0800000US170311400014000063000,1400000US17031063000,17031063000,"Census Tract 630, Cook County, Illinois",394,20,15,0,4,0,0,11,18,0,0,46,14,81,44,47,94,
0800000US170311400014000063100,1400000US17031063100,17031063100,"Census Tract 631, Cook County, Illinois",310,0,0,0,0,0,20,0,0,0,10,11,71,12,58,61,67,
0800000US170311400014000063200,1400000US17031063200,17031063200,"Census Tract 632, Cook County, Illinois",931,100,0,0,29,0,14,0,48,49,16,40,96,102,97,179,161,
0800000US170311400014000063301,1400000US17031063301,17031063301,"Census Tract 633.01, Cook County, Illinois",218,0,11,0,0,0,0,9,6,0,24,0,66,36,21,8,37,
0800000US170311400014000063302,1400000US17031063302,17031063302,"Census Tract 633.02, Cook County, Illinois",479,24,0,14,0,0,0,0,22,0,13,15,119,51,63,76,82,
0800000US170311400014000063303,1400000US17031063303,17031063303,"Census Tract 633.03, Cook County, Illinois",135,9,0,0,0,3,0,9,0,4,0,26,22,10,7,34,11,
0800000US170311400014000063400,1400000US17031063400,17031063400,"Census Tract 634, Cook County, Illinois",216,0,0,0,0,0,0,0,19,0,16,0,22,20,17,39,83,
0800000US170311400014000070101,1400000US17031070101,17031070101,"Census Tract 701.01, Cook County, Illinois",663,0,0,0,0,0,0,0,0,0,0,81,110,57,48,49,318,
0800000US170311400014000070102,1400000US17031070102,17031070102,"Census Tract 701.02, Cook County, Illinois",219,0,0,0,0,0,0,0,0,0,0,68,8,31,31,48,33,
0800000US170311400014000070103,1400000US17031070103,17031070103,"Census Tract 701.03, Cook County, Illinois",208,9,0,0,12,0,0,0,20,0,0,8,0,7,0,140,12,
0800000US170311400014000070200,1400000US17031070200,17031070200,"Census Tract 702, Cook County, Illinois",658,0,15,0,0,0,0,0,0,7,0,28,44,102,65,49,348,
0800000US170311400014000070300,1400000US17031070300,17031070300,"Census Tract 703, Cook County, Illinois",440,8,0,12,0,0,8,14,0,0,0,29,29,66,53,68,153,
