GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,"Estimate; Total: - Less than $10,000","Margin of Error; Total: - Less than $10,000","Estimate; Total: - $10,000 to $14,999","Margin of Error; Total: - $10,000 to $14,999","Estimate; Total: - $15,000 to $19,999","Margin of Error; Total: - $15,000 to $19,999","Estimate; Total: - $20,000 to $24,999","Margin of Error; Total: - $20,000 to $24,999","Estimate; Total: - $25,000 to $29,999","Margin of Error; Total: - $25,000 to $29,999","Estimate; Total: - $30,000 to $34,999","Margin of Error; Total: - $30,000 to $34,999","Estimate; Total: - $35,000 to $39,999","Margin of Error; Total: - $35,000 to $39,999","Estimate; Total: - $40,000 to $44,999","Margin of Error; Total: - $40,000 to $44,999","Estimate; Total: - $45,000 to $49,999","Margin of Error; Total: - $45,000 to $49,999","Estimate; Total: - $50,000 to $59,999","Margin of Error; Total: - $50,000 to $59,999","Estimate; Total: - $60,000 to $74,999","Margin of Error; Total: - $60,000 to $74,999","Estimate; Total: - $75,000 to $99,999","Margin of Error; Total: - $75,000 to $99,999","Estimate; Total: - $100,000 to $124,999","Margin of Error; Total: - $100,000 to $124,999","Estimate; Total: - $125,000 to $149,999","Margin of Error; Total: - $125,000 to $149,999","Estimate; Total: - $150,000 to $199,999","Margin of Error; Total: - $150,000 to $199,999","Estimate; Total: - $200,000 or more","Margin of Error; Total: - $200,000 or more"
1400000US17031010100,17031010100,"Census Tract 101, Cook County, Illinois",883,159,78,60,28,31,124,72,84,98,51,61,0,11,17,30,14,22,9,21,34,33,227,140,36,43,104,83,38,37,39,56,0,11
1400000US17031010201,17031010201,"Census Tract 102.01, Cook County, Illinois",1587,207,230,135,47,45,105,73,73,74,103,80,74,70,57,55,114,96,94,66,127,78,186,108,127,86,116,66,83,67,21,28,30,35
1400000US17031010202,17031010202,"Census Tract 102.02, Cook County, Illinois",417,85,8,13,10,16,46,37,37,39,9,14,0,11,55,45,23,28,51,38,0,11,41,36,61,37,49,33,8,14,9,14,10,15
1400000US17031010300,17031010300,"Census Tract 103, Cook County, Illinois",1051,200,77,71,58,62,45,47,11,18,0,15,178,117,46,77,71,76,0,15,133,100,113,81,128,72,21,35,14,21,73,65,83,65
1400000US17031010400,17031010400,"Census Tract 104, Cook County, Illinois",720,166,84,86,0,15,0,15,26,30,0,15,34,55,104,91,39,35,30,24,58,62,44,33,100,59,73,61,27,30,86,85,15,22
1400000US17031010501,17031010501,"Census Tract 105.01, Cook County, Illinois",586,144,81,76,46,44,29,39,81,82,12,20,0,11,33,42,40,44,0,11,91,85,46,78,41,52,13,21,0,11,42,52,31,34
1400000US17031010502,17031010502,"Census Tract 105.02, Cook County, Illinois",320,88,9,14,26,33,44,46,25,29,0,11,32,30,10,16,33,31,15,17,40,30,10,13,7,12,28,22,22,24,9,15,10,16
1400000US17031010503,17031010503,"Census Tract 105.03, Cook County, Illinois",249,80,16,18,30,38,29,35,36,37,0,11,20,31,0,11,12,15,0,11,21,34,0,11,30,24,0,11,30,34,18,19,7,11
1400000US17031010600,17031010600,"Census Tract 106, Cook County, Illinois",1061,230,61,73,46,75,0,15,28,33,47,46,90,83,97,106,0,15,0,15,31,38,206,118,131,94,69,77,74,57,60,49,121,76
