GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,"Estimate; Total: - Less than $10,000","Margin of Error; Total: - Less than $10,000","Estimate; Total: - $10,000 to $14,999","Margin of Error; Total: - $10,000 to $14,999","Estimate; Total: - $15,000 to $19,999","Margin of Error; Total: - $15,000 to $19,999","Estimate; Total: - $20,000 to $24,999","Margin of Error; Total: - $20,000 to $24,999","Estimate; Total: - $25,000 to $29,999","Margin of Error; Total: - $25,000 to $29,999","Estimate; Total: - $30,000 to $34,999","Margin of Error; Total: - $30,000 to $34,999","Estimate; Total: - $35,000 to $39,999","Margin of Error; Total: - $35,000 to $39,999","Estimate; Total: - $40,000 to $44,999","Margin of Error; Total: - $40,000 to $44,999","Estimate; Total: - $45,000 to $49,999","Margin of Error; Total: - $45,000 to $49,999","Estimate; Total: - $50,000 to $59,999","Margin of Error; Total: - $50,000 to $59,999","Estimate; Total: - $60,000 to $74,999","Margin of Error; Total: - $60,000 to $74,999","Estimate; Total: - $75,000 to $99,999","Margin of Error; Total: - $75,000 to $99,999","Estimate; Total: - $100,000 to $124,999","Margin of Error; Total: - $100,000 to $124,999","Estimate; Total: - $125,000 to $149,999","Margin of Error; Total: - $125,000 to $149,999","Estimate; Total: - $150,000 to $199,999","Margin of Error; Total: - $150,000 to $199,999","Estimate; Total: - $200,000 or more","Margin of Error; Total: - $200,000 or more"
1400000US36005000100,36005000100,"Census Tract 1, Bronx County, New York",0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16
1400000US36005000200,36005000200,"Census Tract 2, Bronx County, New York",1013,131,112,75,23,37,17,22,48,43,111,52,29,36,19,30,24,32,29,34,24,26,99,71,161,80,105,72,61,53,130,59,21,24
1400000US36005000400,36005000400,"Census Tract 4, Bronx County, New York",1497,151,124,85,0,16,48,39,42,43,0,16,60,58,50,58,36,35,23,26,50,50,158,87,233,112,226,100,157,87,205,102,85,50
1400000US36005001600,36005001600,"Census Tract 16, Bronx County, New York",1470,124,150,95,97,69,122,68,49,47,72,53,184,78,75,61,232,105,65,59,161,93,120,59,20,23,72,58,20,24,20,23,11,17
1400000US36005001900,36005001900,"Census Tract 19, Bronx County, New York",495,63,69,38,37,33,14,16,5,7,18,18,31,28,75,38,67,36,22,20,29,20,28,25,49,33,12,19,33,28,0,11,6,9
1400000US36005002000,36005002000,"Census Tract 20, Bronx County, New York",2161,223,408,184,341,182,265,145,135,103,59,48,232,144,124,84,130,113,27,46,147,129,76,76,80,72,107,82,0,16,16,27,14,24
1400000US36005002300,36005002300,"Census Tract 23, Bronx County, New York",1190,151,317,115,149,75,119,79,110,74,73,51,76,59,52,33,56,55,44,41,81,47,33,34,43,43,0,11,23,29,14,25,0,11
1400000US36005002400,36005002400,"Census Tract 24, Bronx County, New York",28,44,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,28,44,0,11,0,11,0,11
1400000US36005002500,36005002500,"Census Tract 25, Bronx County, New York",1291,130,197,91,159,100,126,77,76,57,52,51,81,64,113,62,37,38,48,35,79,58,67,49,128,81,61,61,67,47,0,16,0,16
