GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,"Estimate; Total: - Less than $10,000","Margin of Error; Total: - Less than $10,000","Estimate; Total: - $10,000 to $14,999","Margin of Error; Total: - $10,000 to $14,999","Estimate; Total: - $15,000 to $19,999","Margin of Error; Total: - $15,000 to $19,999","Estimate; Total: - $20,000 to $24,999","Margin of Error; Total: - $20,000 to $24,999","Estimate; Total: - $25,000 to $29,999","Margin of Error; Total: - $25,000 to $29,999","Estimate; Total: - $30,000 to $34,999","Margin of Error; Total: - $30,000 to $34,999","Estimate; Total: - $35,000 to $39,999","Margin of Error; Total: - $35,000 to $39,999","Estimate; Total: - $40,000 to $44,999","Margin of Error; Total: - $40,000 to $44,999","Estimate; Total: - $45,000 to $49,999","Margin of Error; Total: - $45,000 to $49,999","Estimate; Total: - $50,000 to $59,999","Margin of Error; Total: - $50,000 to $59,999","Estimate; Total: - $60,000 to $74,999","Margin of Error; Total: - $60,000 to $74,999","Estimate; Total: - $75,000 to $99,999","Margin of Error; Total: - $75,000 to $99,999","Estimate; Total: - $100,000 to $124,999","Margin of Error; Total: - $100,000 to $124,999","Estimate; Total: - $125,000 to $149,999","Margin of Error; Total: - $125,000 to $149,999","Estimate; Total: - $150,000 to $199,999","Margin of Error; Total: - $150,000 to $199,999","Estimate; Total: - $200,000 or more","Margin of Error; Total: - $200,000 or more"
1400000US36047000100,36047000100,"Census Tract 1, Kings County, New York",977,182,0,11,0,11,107,101,20,32,0,11,0,11,65,92,0,11,0,11,0,11,46,43,173,113,55,48,72,61,160,91,279,83
1400000US36047000200,36047000200,"Census Tract 2, Kings County, New York",284,56,23,25,13,15,10,9,13,20,47,31,18,23,17,18,20,19,7,11,29,25,23,23,40,29,17,22,0,11,2,5,5,8
1400000US36047000301,36047000301,"Census Tract 3.01, Kings County, New York",908,172,0,11,0,11,0,11,0,11,0,11,53,58,21,34,41,48,0,11,0,11,0,11,36,42,117,82,62,58,114,76,464,144
1400000US36047000501,36047000501,"Census Tract 5.01, Kings County, New York",713,108,8,13,10,16,0,11,23,33,0,11,0,11,0,11,9,13,0,11,6,10,62,52,9,13,79,47,83,46,43,32,381,104
1400000US36047000502,36047000502,"Census Tract 5.02, Kings County, New York",566,101,0,11,7,11,0,11,0,11,0,11,7,10,30,44,0,11,0,11,0,11,19,15,28,26,46,37,57,39,124,62,248,93
1400000US36047000700,36047000700,"Census Tract 7, Kings County, New York",923,127,0,11,9,14,0,11,10,15,8,13,0,11,0,11,27,23,8,14,10,16,17,19,40,31,75,55,66,59,174,71,479,93
1400000US36047000900,36047000900,"Census Tract 9, Kings County, New York",748,124,15,24,0,11,13,21,0,11,0,11,0,11,0,11,0,11,0,11,0,11,9,14,24,29,16,26,30,38,135,72,506,142
1400000US36047001100,36047001100,"Census Tract 11, Kings County, New York",271,64,0,11,6,8,0,11,6,9,0,11,0,11,0,11,0,11,0,11,0,11,5,9,28,23,44,34,47,28,51,33,84,37
1400000US36047001300,36047001300,"Census Tract 13, Kings County, New York",402,46,5,8,6,8,9,13,14,17,0,11,0,11,19,27,0,11,10,14,0,11,7,10,18,15,36,25,32,20,118,45,128,39
