GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,"Estimate; Total: - Less than $10,000","Margin of Error; Total: - Less than $10,000","Estimate; Total: - $10,000 to $14,999","Margin of Error; Total: - $10,000 to $14,999","Estimate; Total: - $15,000 to $19,999","Margin of Error; Total: - $15,000 to $19,999","Estimate; Total: - $20,000 to $24,999","Margin of Error; Total: - $20,000 to $24,999","Estimate; Total: - $25,000 to $29,999","Margin of Error; Total: - $25,000 to $29,999","Estimate; Total: - $30,000 to $34,999","Margin of Error; Total: - $30,000 to $34,999","Estimate; Total: - $35,000 to $39,999","Margin of Error; Total: - $35,000 to $39,999","Estimate; Total: - $40,000 to $44,999","Margin of Error; Total: - $40,000 to $44,999","Estimate; Total: - $45,000 to $49,999","Margin of Error; Total: - $45,000 to $49,999","Estimate; Total: - $50,000 to $59,999","Margin of Error; Total: - $50,000 to $59,999","Estimate; Total: - $60,000 to $74,999","Margin of Error; Total: - $60,000 to $74,999","Estimate; Total: - $75,000 to $99,999","Margin of Error; Total: - $75,000 to $99,999","Estimate; Total: - $100,000 to $124,999","Margin of Error; Total: - $100,000 to $124,999","Estimate; Total: - $125,000 to $149,999","Margin of Error; Total: - $125,000 to $149,999","Estimate; Total: - $150,000 to $199,999","Margin of Error; Total: - $150,000 to $199,999","Estimate; Total: - $200,000 or more","Margin of Error; Total: - $200,000 or more"
1400000US36061000100,36061000100,"Census Tract 1, New York County, New York",0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
1400000US36061000201,36061000201,"Census Tract 2.01, New York County, New York",642,104,124,84,89,62,22,27,68,54,82,72,105,70,25,27,5,17,87,80,13,21,22,24,0,11,0,11,0,11,0,11,0,11
1400000US36061000202,36061000202,"Census Tract 2.02, New York County, New York",1863,236,175,100,105,81,61,54,221,119,100,83,98,77,151,102,12,19,130,82,149,106,215,140,93,65,146,103,74,60,71,68,62,51
1400000US36061000500,36061000500,"Census Tract 5, New York County, New York",0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
1400000US36061000600,36061000600,"Census Tract 6, New York County, New York",2554,363,238,164,568,202,197,120,240,178,205,164,124,110,29,52,122,124,154,141,276,208,78,124,47,73,164,143,49,63,0,18,63,72
1400000US36061000700,36061000700,"Census Tract 7, New York County, New York",1391,363,0,16,0,16,31,49,0,16,0,16,20,34,0,16,0,16,0,16,49,74,15,33,117,135,188,139,237,176,99,82,635,252
1400000US36061000800,36061000800,"Census Tract 8, New York County, New York",2275,242,81,70,282,153,275,138,156,85,212,111,132,95,199,130,45,47,150,118,108,88,137,100,308,178,71,63,33,31,75,78,11,18
1400000US36061000900,36061000900,"Census Tract 9, New York County, New York",432,73,11,10,0,11,0,11,0,11,13,20,0,11,16,18,0,11,3,5,4,6,6,10,4,6,36,32,26,23,75,39,238,49
1400000US36061001001,36061001001,"Census Tract 10.01, New York County, New York",311,60,11,12,0,11,0,11,5,9,12,12,0,11,5,8,0,11,5,7,12,15,20,16,30,17,43,31,59,33,38,28,71,37
